Flow Duration,Total Fwd Packets,Total Backward Packets,Packet Length Mean,Flow Bytes/s,Protocol,Destination Port,Label
32988,2,0,76.0,4607.726167589367,17,5353,0
0,1,0,70.0,0,17,5355,0
0,1,0,70.0,0,17,5355,0
2520660,2,0,92.0,72.99672941421726,17,137,0
0,1,0,167.0,0,17,1900,0
0,1,0,82.0,0,17,5353,0
33360,2,0,82.0,4916.06649418962,17,5353,0
2000161,3,0,92.0,137.9888307552239,17,137,0
1974446,3,0,92.0,139.78602530867866,17,137,0
1517107,4,0,387.0,1020.3630923270149,17,5353,0
1551131,5,0,387.0,1247.4764495151105,17,5353,0
2690246,3,0,92.0,102.5928352826477,17,137,0
2513295,3,0,92.0,109.81598051515317,17,137,0
2516136,3,0,92.0,109.69199654330721,17,137,0
0,1,0,74.0,0,17,5355,0
1546990,4,0,411.0,1062.7086022943809,17,5353,0
1580617,5,0,411.0,1300.1246562570752,17,5353,0
2476685,4,0,92.0,148.5856645950081,17,137,0
0,1,0,82.0,0,17,1947,0
1227995,3,0,387.0,945.4432843175514,17,5353,0
3039590,6,0,898.0,1772.6074196611255,17,5353,0
0,1,0,87.0,0,17,5353,0
1067345,3,0,126.33333333333333,355.08640174518564,17,5353,0
1976329,5,0,70.0,177.09601203958104,17,5353,0
2007789,6,0,70.0,209.1852391577956,17,5353,0
1041696,2,0,64.0,122.87653134791574,17,5355,0
916103,2,0,70.0,152.8211435666665,17,5355,0
903090,2,0,70.0,155.02330883560367,17,5355,0
0,1,0,290.0,0,17,5353,0
517734,2,0,74.0,285.86078793996506,17,5355,0
2329223,4,3,59.142857142857146,177.74162779728525,6,7680,0
0,1,0,63.0,0,6,7680,0
1252770,2,0,75.0,119.73465024924356,17,5355,0
0,1,0,167.0,0,17,1900,0
2482635,4,4,58.5,188.5093483792455,6,64137,0
180106,1,1,58.5,649.61685949538,6,61959,0
0,1,0,66.0,0,6,7680,0
0,1,0,179.0,0,17,1900,0
1648233,4,0,128.75,312.4556550850446,17,5353,0
0,1,0,212.0,0,17,1900,0
0,1,0,87.0,0,17,5353,0
0,1,0,75.0,0,17,5355,0
0,1,0,81.0,0,17,5353,0
0,1,0,698.0,0,17,3702,0
0,1,0,498.0,0,17,5353,0
3177156,2,0,92.0,57.9134169760815,17,137,0
2440598,2,0,212.0,173.727862526404,17,1900,0
2351938,2,0,212.0,180.27678723032633,17,1900,0
0,1,0,87.0,0,17,5353,0
0,1,0,107.0,0,17,5353,0
0,1,0,82.0,0,17,1947,0
0,1,0,110.0,0,17,137,0
70583,2,0,110.0,3116.8721394093545,17,137,0
129916,3,0,110.0,2540.0897762933328,17,137,0
172399,4,0,110.0,2552.2183284607536,17,137,0
227549,5,0,110.0,2417.0610115149675,17,137,0
277554,6,0,110.0,2377.9153473876986,17,137,0
2528847,5,0,199.8,395.04162168354037,17,5353,0
4733052,3,0,92.0,58.31331610102871,17,137,0
0,1,0,175.0,0,17,1900,0
0,1,0,87.0,0,17,5353,0
0,1,0,167.0,0,17,1900,0
0,1,0,122.0,0,17,5353,0
2685046,3,0,76.0,84.91473260153859,17,5353,0
2733870,4,0,76.0,111.19763949235202,17,5353,0
1267548,2,0,75.0,118.33870593373588,17,5355,0
1296047,2,0,81.0,124.99544666535198,17,5353,0
282933,2,0,104.0,735.1545297503181,17,5353,0
0,1,0,82.0,0,17,5353,0
74860,2,0,92.5,2471.276553731695,17,5353,0
109050,3,0,112.33333333333333,3090.324533384056,17,5353,0
141624,4,0,126.25,3565.77446697474,17,5353,0
174975,5,0,137.8,3937.6964927101785,17,5353,0
0,1,0,119.0,0,17,5353,0
0,1,0,167.0,0,17,1900,0
5497740,7,0,803.0,1022.4199830731305,17,5353,0
0,1,0,83.0,0,17,5353,0
0,1,0,436.0,0,17,5353,0
0,1,0,460.0,0,17,5353,0
0,1,0,463.0,0,17,5353,0
0,1,0,460.0,0,17,5353,0
0,1,0,179.0,0,17,1900,0
36772,2,0,179.0,9735.665078160964,17,1900,0
0,1,0,472.0,0,17,5353,0
0,1,0,455.0,0,17,5353,0
2351061,2,0,179.0,152.27166964217355,17,1900,0
0,1,0,474.0,0,17,5353,0
0,1,0,82.0,0,17,57621,0
5472098,3,0,92.0,50.437692151276494,17,137,0
0,1,0,168.0,0,17,5353,0
2513834,3,0,81.0,96.66505737786079,17,5353,0
953951,2,0,193.0,404.6327901744543,17,5353,0
2723304,2,0,212.0,155.69320229336003,17,1900,0
1069244,3,0,168.33333333333334,472.2962493882024,17,5353,0
0,1,0,231.0,0,17,5353,0
0,1,0,65.0,0,17,5355,0
5274895,3,0,82.0,46.63599559131579,17,5353,0
5329006,4,0,82.0,61.54993232213678,17,5353,0
6924179,4,0,92.0,53.14709087637353,17,137,0
2003079,3,0,102.66666666666667,153.76326792178037,17,5353,0
0,1,0,110.0,0,17,137,0
5722622,6,0,411.0,430.92130272369633,17,5353,0
5793792,7,0,411.0,496.5658970486272,17,5353,0
920936,2,0,556.5,1208.5522703360975,17,5353,0
6105139,6,0,387.0,380.33531971906376,17,5353,0
6176154,7,0,387.0,438.6224220334626,17,5353,0
5353910,6,0,247.16666666666666,276.99381245761975,17,5353,0
5437043,7,0,227.14285714285714,292.4383611525598,17,5353,0
963487,2,0,178.0,369.490902243192,17,5353,0
5812159,4,0,387.0,266.3382030048287,17,5353,0
5874723,5,0,387.0,329.377220922977,17,5353,0
0,1,0,66.0,0,6,7680,0
55184,1,1,66.0,2391.971554603151,6,57631,0
7519733,2,0,92.0,24.468953264400653,17,137,0
0,1,0,216.0,0,17,138,0
7628663,3,0,92.0,36.17934069428907,17,137,0
7823742,2,0,92.0,23.518157480478607,17,137,0
7877961,3,0,92.0,35.03444538989166,17,137,0
7994653,2,0,92.0,23.015382258967744,17,137,0
8051933,3,0,92.0,34.27748321810314,17,137,0
1248872,2,0,110.0,176.15882544858846,17,137,0
0,1,0,82.0,0,17,5353,0
50863,2,0,82.0,3224.3308958638017,17,5353,0
8109676,4,0,92.0,45.377891106093834,17,137,0
8168066,5,0,92.0,56.31687414089161,17,137,0
8288355,2,0,92.0,22.199819738203583,17,137,0
0,1,0,216.0,0,17,138,0
0,1,0,216.0,0,17,138,0
8306142,2,0,92.0,22.152281765409718,17,137,0
8513478,3,0,92.0,32.41918179049267,17,137,0
0,1,0,216.0,0,17,138,0
0,1,0,216.0,0,17,138,0
7581756,8,0,411.0,433.67258763720673,17,5353,0
7622702,9,0,411.0,485.2609776994702,17,5353,0
0,1,0,216.0,0,17,138,0
0,1,0,136.0,0,17,5353,0
32390,2,0,144.0,8891.535475322955,17,5353,0
9116044,8,0,864.0,758.223629269793,17,5353,0
9191395,9,0,882.2222222222222,863.8514120861735,17,5353,0
9246338,10,0,884.4,956.4867354543301,17,5353,0
4403064,4,0,309.0,280.71356575815884,17,5353,0
0,1,0,66.0,0,6,7680,0
31444,1,1,66.0,4197.833996770011,6,57673,0
0,1,0,102.0,0,17,53,0
30860,1,1,169.0,10952.539068897851,17,51856,0
